2017-11-18  23:02:24.212 [main] ERROR com.example.slf4j.Service - from error main args=[], time=1511017344212
2017-11-18  23:02:24.313 [main] DEBUG com.example.slf4j.Service - from debug main args=[], time=1511017344313
2017-11-18  23:02:24.313 [main] INFO  com.example.slf4j.Service - from info main args=[], time=1511017344313
2017-11-18  23:02:24.313 [main] WARN  com.example.slf4j.Service - from warn main args=[], time=1511017344313
2017-11-18  23:02:24.313 [main] ERROR com.example.slf4j.Service - from error main args=[], time=1511017344313
2017-11-18  23:02:24.413 [main] DEBUG com.example.slf4j.Service - from debug main args=[], time=1511017344413
2017-11-18  23:02:24.413 [main] INFO  com.example.slf4j.Service - from info main args=[], time=1511017344413
2017-11-18  23:02:24.413 [main] WARN  com.example.slf4j.Service - from warn main args=[], time=1511017344413
2017-11-18  23:02:24.413 [main] ERROR com.example.slf4j.Service - from error main args=[], time=1511017344413
2017-11-18  23:02:24.514 [main] DEBUG com.example.slf4j.Service - from debug main args=[], time=1511017344514
2017-11-18  23:02:24.514 [main] INFO  com.example.slf4j.Service - from info main args=[], time=1511017344514
2017-11-18  23:02:24.515 [main] WARN  com.example.slf4j.Service - from warn main args=[], time=1511017344515
2017-11-18  23:02:24.515 [main] ERROR com.example.slf4j.Service - from error main args=[], time=1511017344515
2017-11-18  23:02:24.615 [main] DEBUG com.example.slf4j.Service - from debug main args=[], time=1511017344615
2017-11-18  23:02:24.615 [main] INFO  com.example.slf4j.Service - from info main args=[], time=1511017344615
2017-11-18  23:02:24.615 [main] WARN  com.example.slf4j.Service - from warn main args=[], time=1511017344615
2017-11-18  23:02:24.615 [main] ERROR com.example.slf4j.Service - from error main args=[], time=1511017344615
2017-11-18  23:02:24.716 [main] DEBUG com.example.slf4j.Service - from debug main args=[], time=1511017344716
2017-11-18  23:02:24.716 [main] INFO  com.example.slf4j.Service - from info main args=[], time=1511017344716
2017-11-18  23:02:24.716 [main] WARN  com.example.slf4j.Service - from warn main args=[], time=1511017344716
2017-11-18  23:02:24.716 [main] ERROR com.example.slf4j.Service - from error main args=[], time=1511017344716
2017-11-18  23:02:24.816 [main] DEBUG com.example.slf4j.Service - from debug main args=[], time=1511017344816
2017-11-18  23:02:24.816 [main] INFO  com.example.slf4j.Service - from info main args=[], time=1511017344816
2017-11-18  23:02:24.816 [main] WARN  com.example.slf4j.Service - from warn main args=[], time=1511017344816
2017-11-18  23:02:24.816 [main] ERROR com.example.slf4j.Service - from error main args=[], time=1511017344816
2017-11-18  23:02:24.917 [main] DEBUG com.example.slf4j.Service - from debug main args=[], time=1511017344917
2017-11-18  23:02:24.917 [main] INFO  com.example.slf4j.Service - from info main args=[], time=1511017344917
2017-11-18  23:02:24.917 [main] WARN  com.example.slf4j.Service - from warn main args=[], time=1511017344917
2017-11-18  23:02:24.917 [main] ERROR com.example.slf4j.Service - from error main args=[], time=1511017344917
2017-11-18  23:02:25.017 [main] DEBUG com.example.slf4j.Service - from debug main args=[], time=1511017345017
2017-11-18  23:02:25.017 [main] INFO  com.example.slf4j.Service - from info main args=[], time=1511017345017
2017-11-18  23:02:25.017 [main] WARN  com.example.slf4j.Service - from warn main args=[], time=1511017345017
2017-11-18  23:02:25.018 [main] ERROR com.example.slf4j.Service - from error main args=[], time=1511017345018
2017-11-18  23:02:25.119 [main] DEBUG com.example.slf4j.Service - from debug main args=[], time=1511017345119
2017-11-18  23:02:25.119 [main] INFO  com.example.slf4j.Service - from info main args=[], time=1511017345119
2017-11-18  23:02:25.119 [main] WARN  com.example.slf4j.Service - from warn main args=[], time=1511017345119
2017-11-18  23:02:25.119 [main] ERROR com.example.slf4j.Service - from error main args=[], time=1511017345119
2017-11-18  23:02:25.219 [main] DEBUG com.example.slf4j.Service - from debug main args=[], time=1511017345219
2017-11-18  23:02:25.219 [main] INFO  com.example.slf4j.Service - from info main args=[], time=1511017345219
2017-11-18  23:02:25.219 [main] WARN  com.example.slf4j.Service - from warn main args=[], time=1511017345219
2017-11-18  23:02:25.219 [main] ERROR com.example.slf4j.Service - from error main args=[], time=1511017345219
2017-11-18  23:02:25.319 [main] DEBUG com.example.slf4j.Service - from debug main args=[], time=1511017345319
2017-11-18  23:02:25.319 [main] INFO  com.example.slf4j.Service - from info main args=[], time=1511017345319
2017-11-18  23:02:25.319 [main] WARN  com.example.slf4j.Service - from warn main args=[], time=1511017345319
2017-11-18  23:02:25.319 [main] ERROR com.example.slf4j.Service - from error main args=[], time=1511017345319
2017-11-18  23:02:25.419 [main] DEBUG com.example.slf4j.Service - from debug main args=[], time=1511017345419
2017-11-18  23:02:25.419 [main] INFO  com.example.slf4j.Service - from info main args=[], time=1511017345419
2017-11-18  23:02:25.419 [main] WARN  com.example.slf4j.Service - from warn main args=[], time=1511017345419
2017-11-18  23:02:25.419 [main] ERROR com.example.slf4j.Service - from error main args=[], time=1511017345419
2017-11-18  23:02:25.519 [main] DEBUG com.example.slf4j.Service - from debug main args=[], time=1511017345519
2017-11-18  23:02:25.520 [main] INFO  com.example.slf4j.Service - from info main args=[], time=1511017345520
2017-11-18  23:02:25.520 [main] WARN  com.example.slf4j.Service - from warn main args=[], time=1511017345520
2017-11-18  23:02:25.520 [main] ERROR com.example.slf4j.Service - from error main args=[], time=1511017345520
2017-11-18  23:02:25.621 [main] DEBUG com.example.slf4j.Service - from debug main args=[], time=1511017345621
2017-11-18  23:02:25.621 [main] INFO  com.example.slf4j.Service - from info main args=[], time=1511017345621
2017-11-18  23:02:25.621 [main] WARN  com.example.slf4j.Service - from warn main args=[], time=1511017345621
2017-11-18  23:02:25.621 [main] ERROR com.example.slf4j.Service - from error main args=[], time=1511017345621
2017-11-18  23:02:25.721 [main] DEBUG com.example.slf4j.Service - from debug main args=[], time=1511017345721
2017-11-18  23:02:25.721 [main] INFO  com.example.slf4j.Service - from info main args=[], time=1511017345721
2017-11-18  23:02:25.721 [main] WARN  com.example.slf4j.Service - from warn main args=[], time=1511017345721
2017-11-18  23:02:25.721 [main] ERROR com.example.slf4j.Service - from error main args=[], time=1511017345721
2017-11-18  23:02:25.821 [main] DEBUG com.example.slf4j.Service - from debug main args=[], time=1511017345821
2017-11-18  23:02:25.821 [main] INFO  com.example.slf4j.Service - from info main args=[], time=1511017345821
2017-11-18  23:02:25.821 [main] WARN  com.example.slf4j.Service - from warn main args=[], time=1511017345821
2017-11-18  23:02:25.821 [main] ERROR com.example.slf4j.Service - from error main args=[], time=1511017345821
2017-11-18  23:02:25.921 [main] DEBUG com.example.slf4j.Service - from debug main args=[], time=1511017345921
2017-11-18  23:02:25.921 [main] INFO  com.example.slf4j.Service - from info main args=[], time=1511017345921
2017-11-18  23:02:25.921 [main] WARN  com.example.slf4j.Service - from warn main args=[], time=1511017345921
2017-11-18  23:02:25.921 [main] ERROR com.example.slf4j.Service - from error main args=[], time=1511017345921
2017-11-18  23:02:26.022 [main] DEBUG com.example.slf4j.Service - from debug main args=[], time=1511017346022
2017-11-18  23:02:26.022 [main] INFO  com.example.slf4j.Service - from info main args=[], time=1511017346022
2017-11-18  23:02:26.022 [main] WARN  com.example.slf4j.Service - from warn main args=[], time=1511017346022
2017-11-18  23:02:26.022 [main] ERROR com.example.slf4j.Service - from error main args=[], time=1511017346022
2017-11-18  23:02:26.122 [main] DEBUG com.example.slf4j.Service - from debug main args=[], time=1511017346122
2017-11-18  23:02:26.122 [main] INFO  com.example.slf4j.Service - from info main args=[], time=1511017346122
2017-11-18  23:02:26.122 [main] WARN  com.example.slf4j.Service - from warn main args=[], time=1511017346122
2017-11-18  23:02:26.122 [main] ERROR com.example.slf4j.Service - from error main args=[], time=1511017346122
2017-11-18  23:02:26.222 [main] DEBUG com.example.slf4j.Service - from debug main args=[], time=1511017346222
2017-11-18  23:02:26.222 [main] INFO  com.example.slf4j.Service - from info main args=[], time=1511017346222
2017-11-18  23:02:26.222 [main] WARN  com.example.slf4j.Service - from warn main args=[], time=1511017346222
2017-11-18  23:02:26.222 [main] ERROR com.example.slf4j.Service - from error main args=[], time=1511017346222
2017-11-18  23:02:26.323 [main] DEBUG com.example.slf4j.Service - from debug main args=[], time=1511017346323
2017-11-18  23:02:26.323 [main] INFO  com.example.slf4j.Service - from info main args=[], time=1511017346323
2017-11-18  23:02:26.323 [main] WARN  com.example.slf4j.Service - from warn main args=[], time=1511017346323
2017-11-18  23:02:26.323 [main] ERROR com.example.slf4j.Service - from error main args=[], time=1511017346323
2017-11-18  23:02:26.423 [main] DEBUG com.example.slf4j.Service - from debug main args=[], time=1511017346423
2017-11-18  23:02:26.423 [main] INFO  com.example.slf4j.Service - from info main args=[], time=1511017346423
2017-11-18  23:02:26.423 [main] WARN  com.example.slf4j.Service - from warn main args=[], time=1511017346423
2017-11-18  23:02:26.423 [main] ERROR com.example.slf4j.Service - from error main args=[], time=1511017346423
2017-11-18  23:02:26.524 [main] DEBUG com.example.slf4j.Service - from debug main args=[], time=1511017346524
2017-11-18  23:02:26.524 [main] INFO  com.example.slf4j.Service - from info main args=[], time=1511017346524
2017-11-18  23:02:26.524 [main] WARN  com.example.slf4j.Service - from warn main args=[], time=1511017346524
2017-11-18  23:02:26.524 [main] ERROR com.example.slf4j.Service - from error main args=[], time=1511017346524
2017-11-18  23:02:26.624 [main] DEBUG com.example.slf4j.Service - from debug main args=[], time=1511017346624
2017-11-18  23:02:26.625 [main] INFO  com.example.slf4j.Service - from info main args=[], time=1511017346625
2017-11-18  23:02:26.626 [main] WARN  com.example.slf4j.Service - from warn main args=[], time=1511017346626
2017-11-18  23:02:26.627 [main] ERROR com.example.slf4j.Service - from error main args=[], time=1511017346627
2017-11-18  23:02:26.728 [main] DEBUG com.example.slf4j.Service - from debug main args=[], time=1511017346728
2017-11-18  23:02:26.728 [main] INFO  com.example.slf4j.Service - from info main args=[], time=1511017346728
2017-11-18  23:02:26.728 [main] WARN  com.example.slf4j.Service - from warn main args=[], time=1511017346728
2017-11-18  23:02:26.728 [main] ERROR com.example.slf4j.Service - from error main args=[], time=1511017346728
2017-11-18  23:02:26.828 [main] DEBUG com.example.slf4j.Service - from debug main args=[], time=1511017346828
2017-11-18  23:02:26.828 [main] INFO  com.example.slf4j.Service - from info main args=[], time=1511017346828
2017-11-18  23:02:26.828 [main] WARN  com.example.slf4j.Service - from warn main args=[], time=1511017346828
2017-11-18  23:02:26.828 [main] ERROR com.example.slf4j.Service - from error main args=[], time=1511017346828
2017-11-18  23:02:26.928 [main] DEBUG com.example.slf4j.Service - from debug main args=[], time=1511017346928
2017-11-18  23:02:26.928 [main] INFO  com.example.slf4j.Service - from info main args=[], time=1511017346928
2017-11-18  23:02:26.928 [main] WARN  com.example.slf4j.Service - from warn main args=[], time=1511017346928
2017-11-18  23:02:26.928 [main] ERROR com.example.slf4j.Service - from error main args=[], time=1511017346928
2017-11-18  23:02:27.028 [main] DEBUG com.example.slf4j.Service - from debug main args=[], time=1511017347028
2017-11-18  23:02:27.028 [main] INFO  com.example.slf4j.Service - from info main args=[], time=1511017347028
2017-11-18  23:02:27.028 [main] WARN  com.example.slf4j.Service - from warn main args=[], time=1511017347028
2017-11-18  23:02:27.028 [main] ERROR com.example.slf4j.Service - from error main args=[], time=1511017347028
2017-11-18  23:02:27.129 [main] DEBUG com.example.slf4j.Service - from debug main args=[], time=1511017347129
2017-11-18  23:02:27.129 [main] INFO  com.example.slf4j.Service - from info main args=[], time=1511017347129
2017-11-18  23:02:27.129 [main] WARN  com.example.slf4j.Service - from warn main args=[], time=1511017347129
2017-11-18  23:02:27.129 [main] ERROR com.example.slf4j.Service - from error main args=[], time=1511017347129
2017-11-18  23:02:27.229 [main] DEBUG com.example.slf4j.Service - from debug main args=[], time=1511017347229
2017-11-18  23:02:27.229 [main] INFO  com.example.slf4j.Service - from info main args=[], time=1511017347229
2017-11-18  23:02:27.229 [main] WARN  com.example.slf4j.Service - from warn main args=[], time=1511017347229
2017-11-18  23:02:27.230 [main] ERROR com.example.slf4j.Service - from error main args=[], time=1511017347230
2017-11-18  23:02:27.330 [main] DEBUG com.example.slf4j.Service - from debug main args=[], time=1511017347330
2017-11-18  23:02:27.331 [main] INFO  com.example.slf4j.Service - from info main args=[], time=1511017347331
2017-11-18  23:02:27.331 [main] WARN  com.example.slf4j.Service - from warn main args=[], time=1511017347331
2017-11-18  23:02:27.331 [main] ERROR com.example.slf4j.Service - from error main args=[], time=1511017347331
2017-11-18  23:02:27.432 [main] DEBUG com.example.slf4j.Service - from debug main args=[], time=1511017347432
2017-11-18  23:02:27.432 [main] INFO  com.example.slf4j.Service - from info main args=[], time=1511017347432
2017-11-18  23:02:27.432 [main] WARN  com.example.slf4j.Service - from warn main args=[], time=1511017347432
2017-11-18  23:02:27.432 [main] ERROR com.example.slf4j.Service - from error main args=[], time=1511017347432
2017-11-18  23:02:27.532 [main] DEBUG com.example.slf4j.Service - from debug main args=[], time=1511017347532
2017-11-18  23:02:27.532 [main] INFO  com.example.slf4j.Service - from info main args=[], time=1511017347532
2017-11-18  23:02:27.532 [main] WARN  com.example.slf4j.Service - from warn main args=[], time=1511017347532
2017-11-18  23:02:27.532 [main] ERROR com.example.slf4j.Service - from error main args=[], time=1511017347532
2017-11-18  23:02:27.632 [main] DEBUG com.example.slf4j.Service - from debug main args=[], time=1511017347632
2017-11-18  23:02:27.632 [main] INFO  com.example.slf4j.Service - from info main args=[], time=1511017347632
2017-11-18  23:02:27.632 [main] WARN  com.example.slf4j.Service - from warn main args=[], time=1511017347632
2017-11-18  23:02:27.633 [main] ERROR com.example.slf4j.Service - from error main args=[], time=1511017347633
2017-11-18  23:02:27.733 [main] DEBUG com.example.slf4j.Service - from debug main args=[], time=1511017347733
2017-11-18  23:02:27.733 [main] INFO  com.example.slf4j.Service - from info main args=[], time=1511017347733
2017-11-18  23:02:27.733 [main] WARN  com.example.slf4j.Service - from warn main args=[], time=1511017347733
2017-11-18  23:02:27.733 [main] ERROR com.example.slf4j.Service - from error main args=[], time=1511017347733
2017-11-18  23:02:27.833 [main] DEBUG com.example.slf4j.Service - from debug main args=[], time=1511017347833
2017-11-18  23:02:27.833 [main] INFO  com.example.slf4j.Service - from info main args=[], time=1511017347833
2017-11-18  23:02:27.833 [main] WARN  com.example.slf4j.Service - from warn main args=[], time=1511017347833
2017-11-18  23:02:27.833 [main] ERROR com.example.slf4j.Service - from error main args=[], time=1511017347833
2017-11-18  23:02:27.933 [main] DEBUG com.example.slf4j.Service - from debug main args=[], time=1511017347933
2017-11-18  23:02:27.933 [main] INFO  com.example.slf4j.Service - from info main args=[], time=1511017347933
2017-11-18  23:02:27.933 [main] WARN  com.example.slf4j.Service - from warn main args=[], time=1511017347933
2017-11-18  23:02:27.933 [main] ERROR com.example.slf4j.Service - from error main args=[], time=1511017347933
2017-11-18  23:02:28.034 [main] DEBUG com.example.slf4j.Service - from debug main args=[], time=1511017348034
2017-11-18  23:02:28.034 [main] INFO  com.example.slf4j.Service - from info main args=[], time=1511017348034
2017-11-18  23:02:28.034 [main] WARN  com.example.slf4j.Service - from warn main args=[], time=1511017348034
2017-11-18  23:02:28.034 [main] ERROR com.example.slf4j.Service - from error main args=[], time=1511017348034
2017-11-18  23:02:28.134 [main] DEBUG com.example.slf4j.Service - from debug main args=[], time=1511017348134
2017-11-18  23:02:28.134 [main] INFO  com.example.slf4j.Service - from info main args=[], time=1511017348134
2017-11-18  23:02:28.134 [main] WARN  com.example.slf4j.Service - from warn main args=[], time=1511017348134
2017-11-18  23:02:28.134 [main] ERROR com.example.slf4j.Service - from error main args=[], time=1511017348134
2017-11-18  23:02:28.234 [main] DEBUG com.example.slf4j.Service - from debug main args=[], time=1511017348234
2017-11-18  23:02:28.234 [main] INFO  com.example.slf4j.Service - from info main args=[], time=1511017348234
2017-11-18  23:02:28.234 [main] WARN  com.example.slf4j.Service - from warn main args=[], time=1511017348234
2017-11-18  23:02:28.234 [main] ERROR com.example.slf4j.Service - from error main args=[], time=1511017348234
2017-11-18  23:02:28.334 [main] DEBUG com.example.slf4j.Service - from debug main args=[], time=1511017348334
2017-11-18  23:02:28.334 [main] INFO  com.example.slf4j.Service - from info main args=[], time=1511017348334
2017-11-18  23:02:28.334 [main] WARN  com.example.slf4j.Service - from warn main args=[], time=1511017348334
2017-11-18  23:02:28.334 [main] ERROR com.example.slf4j.Service - from error main args=[], time=1511017348334
2017-11-18  23:02:28.435 [main] DEBUG com.example.slf4j.Service - from debug main args=[], time=1511017348435
2017-11-18  23:02:28.435 [main] INFO  com.example.slf4j.Service - from info main args=[], time=1511017348435
2017-11-18  23:02:28.435 [main] WARN  com.example.slf4j.Service - from warn main args=[], time=1511017348435
2017-11-18  23:02:28.439 [main] ERROR com.example.slf4j.Service - from error main args=[], time=1511017348437
2017-11-18  23:02:28.545 [main] DEBUG com.example.slf4j.Service - from debug main args=[], time=1511017348545
2017-11-18  23:02:28.545 [main] INFO  com.example.slf4j.Service - from info main args=[], time=1511017348545
2017-11-18  23:02:28.545 [main] WARN  com.example.slf4j.Service - from warn main args=[], time=1511017348545
