2017-11-18  14:52:07.945 [main] INFO  com.example.slf4j.Service - from info main args=[], time=1510987927945
2017-11-18  14:52:07.945 [main] WARN  com.example.slf4j.Service - from warn main args=[], time=1510987927945
2017-11-18  14:52:07.945 [main] ERROR com.example.slf4j.Service - from error main args=[], time=1510987927945
2017-11-18  14:52:08.060 [main] DEBUG com.example.slf4j.Service - from debug main args=[], time=1510987928060
2017-11-18  14:52:08.060 [main] INFO  com.example.slf4j.Service - from info main args=[], time=1510987928060
2017-11-18  14:52:08.060 [main] WARN  com.example.slf4j.Service - from warn main args=[], time=1510987928060
2017-11-18  14:52:08.060 [main] ERROR com.example.slf4j.Service - from error main args=[], time=1510987928060
2017-11-18  14:52:08.176 [main] DEBUG com.example.slf4j.Service - from debug main args=[], time=1510987928176
2017-11-18  14:52:08.176 [main] INFO  com.example.slf4j.Service - from info main args=[], time=1510987928176
2017-11-18  14:52:08.176 [main] WARN  com.example.slf4j.Service - from warn main args=[], time=1510987928176
2017-11-18  14:52:08.176 [main] ERROR com.example.slf4j.Service - from error main args=[], time=1510987928176
2017-11-18  14:52:08.292 [main] DEBUG com.example.slf4j.Service - from debug main args=[], time=1510987928292
2017-11-18  14:52:08.292 [main] INFO  com.example.slf4j.Service - from info main args=[], time=1510987928292
2017-11-18  14:52:08.292 [main] WARN  com.example.slf4j.Service - from warn main args=[], time=1510987928292
2017-11-18  14:52:08.292 [main] ERROR com.example.slf4j.Service - from error main args=[], time=1510987928292
2017-11-18  14:52:08.407 [main] DEBUG com.example.slf4j.Service - from debug main args=[], time=1510987928407
2017-11-18  14:52:08.407 [main] INFO  com.example.slf4j.Service - from info main args=[], time=1510987928407
2017-11-18  14:52:08.407 [main] WARN  com.example.slf4j.Service - from warn main args=[], time=1510987928407
2017-11-18  14:52:08.407 [main] ERROR com.example.slf4j.Service - from error main args=[], time=1510987928407
2017-11-18  14:52:08.523 [main] DEBUG com.example.slf4j.Service - from debug main args=[], time=1510987928523
2017-11-18  14:52:08.523 [main] INFO  com.example.slf4j.Service - from info main args=[], time=1510987928523
2017-11-18  14:52:08.523 [main] WARN  com.example.slf4j.Service - from warn main args=[], time=1510987928523
2017-11-18  14:52:08.523 [main] ERROR com.example.slf4j.Service - from error main args=[], time=1510987928523
2017-11-18  14:52:08.624 [main] DEBUG com.example.slf4j.Service - from debug main args=[], time=1510987928624
2017-11-18  14:52:08.624 [main] INFO  com.example.slf4j.Service - from info main args=[], time=1510987928624
2017-11-18  14:52:08.624 [main] WARN  com.example.slf4j.Service - from warn main args=[], time=1510987928624
2017-11-18  14:52:08.624 [main] ERROR com.example.slf4j.Service - from error main args=[], time=1510987928624
2017-11-18  14:52:08.728 [main] DEBUG com.example.slf4j.Service - from debug main args=[], time=1510987928728
2017-11-18  14:52:08.728 [main] INFO  com.example.slf4j.Service - from info main args=[], time=1510987928728
2017-11-18  14:52:08.728 [main] WARN  com.example.slf4j.Service - from warn main args=[], time=1510987928728
2017-11-18  14:52:08.729 [main] ERROR com.example.slf4j.Service - from error main args=[], time=1510987928729
2017-11-18  14:52:08.845 [main] DEBUG com.example.slf4j.Service - from debug main args=[], time=1510987928845
2017-11-18  14:52:08.845 [main] INFO  com.example.slf4j.Service - from info main args=[], time=1510987928845
2017-11-18  14:52:08.845 [main] WARN  com.example.slf4j.Service - from warn main args=[], time=1510987928845
